DHSID_EA,nl_mean,year
AL-2008-5#-00000001,6.736832293056149,2008.0
AL-2008-5#-00000002,4.78672089224364,2008.0
AL-2008-5#-00000003,7.230244701624558,2008.0
AL-2008-5#-00000004,13.691091902049768,2008.0
AL-2008-5#-00000005,3.4628963275104248,2008.0
AL-2008-5#-00000006,18.676368937567535,2008.0
AL-2008-5#-00000007,10.036910441030864,2008.0
AL-2008-5#-00000008,15.065046850972248,2008.0
AL-2008-5#-00000009,11.9046983869788,2008.0
AL-2008-5#-00000010,17.07917615864837,2008.0
AL-2008-5#-00000011,19.55478150076978,2008.0
AL-2008-5#-00000012,19.186640817846808,2008.0
AL-2008-5#-00000013,20.24017084572692,2008.0
AL-2008-5#-00000014,19.429032136579057,2008.0
AL-2008-5#-00000015,16.036077383064114,2008.0
AL-2008-5#-00000016,1.9018860968604816,2008.0
AL-2008-5#-00000017,0.0615246121510319,2008.0
AL-2008-5#-00000018,2.8475266295861665,2008.0
AL-2008-5#-00000019,0.0,2008.0
AL-2008-5#-00000020,0.0,2008.0
AL-2008-5#-00000021,0.007628854929782115,2008.0
AL-2008-5#-00000022,4.49660627436977,2008.0
AL-2008-5#-00000023,0.0,2008.0
AL-2008-5#-00000024,0.0,2008.0
AL-2008-5#-00000025,2.238768985276037,2008.0
AL-2008-5#-00000026,2.074827236474729,2008.0
AL-2008-5#-00000027,0.9349668771713708,2008.0
AL-2008-5#-00000028,2.5282446994290173,2008.0
AL-2008-5#-00000029,2.5665527786818068,2008.0
AL-2008-5#-00000030,2.728297312456752,2008.0
AL-2008-5#-00000031,1.9590492005441702,2008.0
AL-2008-5#-00000032,0.10202771921975481,2008.0
AL-2008-5#-00000033,7.312408120992412,2008.0
AL-2008-5#-00000034,5.869426273043822,2008.0
AL-2008-5#-00000035,2.216646434794202,2008.0
AL-2008-5#-00000036,5.23321954671441,2008.0
AL-2008-5#-00000037,0.0,2008.0
AL-2008-5#-00000038,0.7952727542570672,2008.0
AL-2008-5#-00000039,0.0,2008.0
AL-2008-5#-00000040,3.865014949338063,2008.0
AL-2008-5#-00000041,5.285016238056023,2008.0
AL-2008-5#-00000042,6.584830817765614,2008.0
AL-2008-5#-00000043,5.944747891827576,2008.0
AL-2008-5#-00000044,5.829593875830745,2008.0
AL-2008-5#-00000045,2.2349576734919037,2008.0
AL-2008-5#-00000046,0.11391950342573601,2008.0
AL-2008-5#-00000047,0.0,2008.0
AL-2008-5#-00000048,4.299478281711166,2008.0
AL-2008-5#-00000049,8.717835341596182,2008.0
AL-2008-5#-00000050,8.796529786081692,2008.0
AL-2008-5#-00000051,0.0,2008.0
AL-2008-5#-00000052,0.0,2008.0
AL-2008-5#-00000053,0.00459829526239063,2008.0
AL-2008-5#-00000054,0.0,2008.0
AL-2008-5#-00000055,10.608825349430083,2008.0
AL-2008-5#-00000056,10.687366059848502,2008.0
AL-2008-5#-00000057,9.263262091405297,2008.0
AL-2008-5#-00000058,8.606148189044557,2008.0
AL-2008-5#-00000059,10.521642800250085,2008.0
AL-2008-5#-00000060,9.912129580531841,2008.0
AL-2008-5#-00000061,9.336450085132133,2008.0
AL-2008-5#-00000062,9.65649441095372,2008.0
AL-2008-5#-00000063,6.31314099531456,2008.0
AL-2008-5#-00000064,8.88234389891399,2008.0
AL-2008-5#-00000065,12.840937356725192,2008.0
AL-2008-5#-00000066,1.8926609227401574,2008.0
AL-2008-5#-00000067,8.787270268070289,2008.0
AL-2008-5#-00000068,5.822065286581354,2008.0
AL-2008-5#-00000069,51.52927609679425,2008.0
AL-2008-5#-00000070,38.84376743785971,2008.0
AL-2008-5#-00000071,7.762114706065095,2008.0
AL-2008-5#-00000072,34.86860055336078,2008.0
AL-2008-5#-00000073,83.56682727521861,2008.0
AL-2008-5#-00000074,81.6555577129348,2008.0
AL-2008-5#-00000075,77.77449779324236,2008.0
AL-2008-5#-00000076,87.75060347988622,2008.0
AL-2008-5#-00000077,77.7208276420866,2008.0
AL-2008-5#-00000078,66.49359928940682,2008.0
AL-2008-5#-00000079,88.26417405615032,2008.0
AL-2008-5#-00000080,86.92393137605133,2008.0
AL-2008-5#-00000081,70.62643981590404,2008.0
AL-2008-5#-00000082,79.98309219243022,2008.0
AL-2008-5#-00000083,7.278867078544268,2008.0
AL-2008-5#-00000084,21.15588777120459,2008.0
AL-2008-5#-00000085,18.691966800667696,2008.0
AL-2008-5#-00000086,3.638713063552076,2008.0
AL-2008-5#-00000087,3.264799988932538,2008.0
AL-2008-5#-00000088,1.1130235766667853,2008.0
AL-2008-5#-00000089,3.1584869402951803,2008.0
AL-2008-5#-00000090,5.4241021381291645,2008.0
AL-2008-5#-00000091,0.156620746049364,2008.0
AL-2008-5#-00000092,1.6767438253793565,2008.0
AL-2008-5#-00000093,5.9420308285646835,2008.0
AL-2008-5#-00000094,7.819445182700562,2008.0
AL-2008-5#-00000095,34.8199535865373,2008.0
AL-2008-5#-00000096,38.51121727261072,2008.0
AL-2008-5#-00000097,30.807637147166464,2008.0
AL-2008-5#-00000098,41.20576913819685,2008.0
AL-2008-5#-00000099,34.750517894542476,2008.0
AL-2008-5#-00000100,22.787323887409592,2008.0
AL-2008-5#-00000101,44.204335515038046,2008.0
AL-2008-5#-00000102,41.16299277122641,2008.0
AL-2008-5#-00000103,45.46140206285276,2008.0
AL-2008-5#-00000104,43.56670346369701,2008.0
AL-2008-5#-00000105,6.478706381987352,2008.0
AL-2008-5#-00000106,6.290198079446149,2008.0
AL-2008-5#-00000107,9.169734735646554,2008.0
AL-2008-5#-00000108,8.05085557780693,2008.0
AL-2008-5#-00000109,9.846021999577658,2008.0
AL-2008-5#-00000110,1.5227142227433912,2008.0
AL-2008-5#-00000111,37.85921577636942,2008.0
AL-2008-5#-00000112,7.110760246901639,2008.0
AL-2008-5#-00000113,8.386459304533844,2008.0
AL-2008-5#-00000114,11.395667164335798,2008.0
AL-2008-5#-00000115,6.929306512933105,2008.0
AL-2008-5#-00000116,15.848774641917696,2008.0
AL-2008-5#-00000117,7.666547415820235,2008.0
AL-2008-5#-00000118,3.360068575035192,2008.0
AL-2008-5#-00000119,30.188576400401914,2008.0
AL-2008-5#-00000120,38.91013915757499,2008.0
AL-2008-5#-00000121,32.38318966033595,2008.0
AL-2008-5#-00000122,35.24709209339475,2008.0
AL-2008-5#-00000123,37.29716310974086,2008.0
AL-2008-5#-00000124,36.072354557868934,2008.0
AL-2008-5#-00000125,38.482007634237334,2008.0
AL-2008-5#-00000126,39.23049411863146,2008.0
AL-2008-5#-00000127,40.27517930062722,2008.0
AL-2008-5#-00000128,38.49402965789115,2008.0
AL-2008-5#-00000129,13.600572412762904,2008.0
AL-2008-5#-00000130,12.30124675890062,2008.0
AL-2008-5#-00000131,7.854889629133753,2008.0
AL-2008-5#-00000132,4.7198639298585325,2008.0
AL-2008-5#-00000133,2.9330253416205863,2008.0
AL-2008-5#-00000134,19.271228117130665,2008.0
AL-2008-5#-00000135,19.64121608490671,2008.0
AL-2008-5#-00000136,0.0,2008.0
AL-2008-5#-00000137,0.0,2008.0
AL-2008-5#-00000138,0.0,2008.0
AL-2008-5#-00000139,0.0,2008.0
AL-2008-5#-00000140,0.0,2008.0
AL-2008-5#-00000141,0.0,2008.0
AL-2008-5#-00000142,0.0,2008.0
AL-2008-5#-00000143,3.9791632178562137,2008.0
AL-2008-5#-00000144,2.618388816051784,2008.0
AL-2008-5#-00000145,2.3207726043135053,2008.0
AL-2008-5#-00000146,2.8942970164195247,2008.0
